Rank,Name,Storage,Value,KeyLevel,OrderLevel,MissingString,Group,Description
0,age,number,continuous,,,,,
1,workclass,string,nominal,,,?,,
2,fnlwgt,number,continuous,,,,,
3,education,string,nominal,,,,,
4,education-num,number,ordinal,,,,,
5,marital-status,string,nominal,,,,,
6,occupation,string,nominal,,,?,,
7,relationship,string,nominal,,,,,
8,race,string,nominal,,,,,
9,sex,string,nominal,,,,,
10,capital-gain,number,continuous,,,99999,,
11,capital-loss,number,continuous,,,,,
12,hours-per-week,number,continuous,,,,,
13,native-country,string,nominal,,,?,,
14,class,number,nominal,,,,,
